muni_j,name_j,muni_vote,party_j,ken,kucode
三島市,細野　豪志,30241,希望の党,22,5
富士市（５区）,細野　豪志,54841,希望の党,22,5
御殿場市,細野　豪志,19971,希望の党,22,5
裾野市,細野　豪志,13983,希望の党,22,5
伊豆の国市（５区）,細野　豪志,3807,希望の党,22,5
函南町,細野　豪志,9892,希望の党,22,5
小山町,細野　豪志,4788,希望の党,22,5
沼津市,内田　ゆたか,6498,日本共産党,22,6
熱海市,内田　ゆたか,1718,日本共産党,22,6
伊東市,内田　ゆたか,3531,日本共産党,22,6
下田市,内田　ゆたか,930,日本共産党,22,6
伊豆市,内田　ゆたか,1206,日本共産党,22,6
伊豆の国市（６区）,内田　ゆたか,1801,日本共産党,22,6
東伊豆町,内田　ゆたか,415,日本共産党,22,6
河津町,内田　ゆたか,236,日本共産党,22,6
南伊豆町,内田　ゆたか,369,日本共産党,22,6
松崎町,内田　ゆたか,247,日本共産党,22,6
西伊豆町,内田　ゆたか,273,日本共産党,22,6
清水町,内田　ゆたか,922,日本共産党,22,6
長泉町,内田　ゆたか,1309,日本共産党,22,6
沼津市,かつまた　孝明,39307,自由民主党,22,6
熱海市,かつまた　孝明,8419,自由民主党,22,6
伊東市,かつまた　孝明,14332,自由民主党,22,6
下田市,かつまた　孝明,5258,自由民主党,22,6
伊豆市,かつまた　孝明,7897,自由民主党,22,6
伊豆の国市（６区）,かつまた　孝明,6857,自由民主党,22,6
東伊豆町,かつまた　孝明,3338,自由民主党,22,6
河津町,かつまた　孝明,1835,自由民主党,22,6
南伊豆町,かつまた　孝明,2371,自由民主党,22,6
松崎町,かつまた　孝明,1868,自由民主党,22,6
西伊豆町,かつまた　孝明,2450,自由民主党,22,6
清水町,かつまた　孝明,6066,自由民主党,22,6
長泉町,かつまた　孝明,8159,自由民主党,22,6
沼津市,わたなべ　周,40796,希望の党,22,6
熱海市,わたなべ　周,6881,希望の党,22,6
伊東市,わたなべ　周,13684,希望の党,22,6
下田市,わたなべ　周,4671,希望の党,22,6
伊豆市,わたなべ　周,7621,希望の党,22,6
伊豆の国市（６区）,わたなべ　周,7713,希望の党,22,6
東伊豆町,わたなべ　周,2332,希望の党,22,6
河津町,わたなべ　周,1634,希望の党,22,6
南伊豆町,わたなべ　周,2086,希望の党,22,6
松崎町,わたなべ　周,1905,希望の党,22,6
西伊豆町,わたなべ　周,1931,希望の党,22,6
清水町,わたなべ　周,7167,希望の党,22,6
長泉町,わたなべ　周,10367,希望の党,22,6
浜松市中区（７区）,城内　みのる,451,自由民主党,22,7
浜松市西区,城内　みのる,35608,自由民主党,22,7
浜松市南区（７区）,城内　みのる,4435,自由民主党,22,7
浜松市北区,城内　みのる,30945,自由民主党,22,7
浜松市浜北区,城内　みのる,28413,自由民主党,22,7
浜松市天竜区（７区）,城内　みのる,9964,自由民主党,22,7
湖西市,城内　みのる,19647,自由民主党,22,7
浜松市中区（７区）,日吉　雄大,57,立憲民主党,22,7
浜松市西区,日吉　雄大,7502,立憲民主党,22,7
浜松市南区（７区）,日吉　雄大,1095,立憲民主党,22,7
浜松市北区,日吉　雄大,5799,立憲民主党,22,7
浜松市浜北区,日吉　雄大,6067,立憲民主党,22,7
浜松市天竜区（７区）,日吉　雄大,1587,立憲民主党,22,7
湖西市,日吉　雄大,4276,立憲民主党,22,7
浜松市中区（７区）,のざわ　正司,38,日本共産党,22,7
浜松市西区,のざわ　正司,2827,日本共産党,22,7
浜松市南区（７区）,のざわ　正司,384,日本共産党,22,7
浜松市北区,のざわ　正司,2735,日本共産党,22,7
浜松市浜北区,のざわ　正司,2783,日本共産党,22,7
浜松市天竜区（７区）,のざわ　正司,1047,日本共産党,22,7
湖西市,のざわ　正司,1166,日本共産党,22,7
浜松市中区（７区）,福村　隆,118,希望の党,22,7
浜松市西区,福村　隆,8498,希望の党,22,7
浜松市南区（７区）,福村　隆,1405,希望の党,22,7
浜松市北区,福村　隆,6316,希望の党,22,7
浜松市浜北区,福村　隆,7067,希望の党,22,7
浜松市天竜区（７区）,福村　隆,1736,希望の党,22,7
湖西市,福村　隆,4765,希望の党,22,7
浜松市中区（８区）,げんま　けんたろう,39963,希望の党,22,8
浜松市東区,げんま　けんたろう,23718,希望の党,22,8
浜松市南区（８区）,げんま　けんたろう,14843,希望の党,22,8
浜松市中区（８区）,しおのや　立,54973,自由民主党,22,8
浜松市東区,しおのや　立,27706,自由民主党,22,8
浜松市南区（８区）,しおのや　立,19179,自由民主党,22,8
浜松市中区（８区）,しまだ　初江,10635,日本共産党,22,8
浜松市東区,しまだ　初江,5198,日本共産党,22,8
浜松市南区（８区）,しまだ　初江,3812,日本共産党,22,8
名古屋市東区,吉田 つねひこ,9970,立憲民主党,23,1
名古屋市北区,吉田 つねひこ,21582,立憲民主党,23,1
名古屋市西区,吉田 つねひこ,17637,立憲民主党,23,1
名古屋市中区,吉田 つねひこ,8591,立憲民主党,23,1
名古屋市東区,佐藤 ゆうこ,9037,希望の党,23,1
名古屋市北区,佐藤 ゆうこ,17745,希望の党,23,1
名古屋市西区,佐藤 ゆうこ,14976,希望の党,23,1
名古屋市中区,佐藤 ゆうこ,6875,希望の党,23,1
名古屋市東区,くまだ 裕通,11733,自由民主党,23,1
名古屋市北区,くまだ 裕通,25031,自由民主党,23,1
名古屋市西区,くまだ 裕通,25522,自由民主党,23,1
名古屋市中区,くまだ 裕通,12012,自由民主党,23,1
名古屋市千種区,古川 元久,32370,希望の党,23,2
名古屋市守山区,古川 元久,35078,希望の党,23,2
名古屋市名東区,古川 元久,32072,希望の党,23,2
名古屋市千種区,田畑 つよし,23843,自由民主党,23,2
名古屋市守山区,田畑 つよし,23699,自由民主党,23,2
名古屋市名東区,田畑 つよし,24058,自由民主党,23,2
名古屋市千種区,酒井 ケンタロー,9771,日本共産党,23,2
名古屋市守山区,酒井 ケンタロー,8792,日本共産党,23,2
名古屋市名東区,酒井 ケンタロー,8860,日本共産党,23,2
名古屋市昭和区,近藤 昭一,21194,立憲民主党,23,3
名古屋市緑区,近藤 昭一,48158,立憲民主党,23,3
名古屋市天白区,近藤 昭一,29243,立憲民主党,23,3
名古屋市昭和区,余語 さやか,6654,希望の党,23,3
名古屋市緑区,余語 さやか,18353,希望の党,23,3
名古屋市天白区,余語 さやか,10604,希望の党,23,3
名古屋市昭和区,池田 よしたか,16393,自由民主党,23,3
名古屋市緑区,池田 よしたか,36061,自由民主党,23,3
名古屋市天白区,池田 よしたか,23766,自由民主党,23,3
名古屋市瑞穂区,西田 とし子,7423,日本共産党,23,4
名古屋市熱田区,西田 とし子,5131,日本共産党,23,4
名古屋市港区,西田 とし子,8711,日本共産党,23,4
名古屋市南区,西田 とし子,8620,日本共産党,23,4
名古屋市瑞穂区,牧 義夫,17435,希望の党,23,4
名古屋市熱田区,牧 義夫,9222,希望の党,23,4
名古屋市港区,牧 義夫,17432,希望の党,23,4
名古屋市南区,牧 義夫,19118,希望の党,23,4
名古屋市瑞穂区,工藤 彰三,19933,自由民主党,23,4
名古屋市熱田区,工藤 彰三,12449,自由民主党,23,4
名古屋市港区,工藤 彰三,20872,自由民主党,23,4
名古屋市南区,工藤 彰三,23192,自由民主党,23,4
名古屋市中村区,ののべ 尚昭,7813,希望の党,23,5
名古屋市中川区,ののべ 尚昭,12362,希望の党,23,5
清須市,ののべ 尚昭,4920,希望の党,23,5
北名古屋市,ののべ 尚昭,6096,希望の党,23,5
豊山町,ののべ 尚昭,988,希望の党,23,5
名古屋市中村区,赤松 広隆,23446,立憲民主党,23,5
名古屋市中川区,赤松 広隆,37266,立憲民主党,23,5
清須市,赤松 広隆,12167,立憲民主党,23,5
北名古屋市,赤松 広隆,15672,立憲民主党,23,5
豊山町,赤松 広隆,2530,立憲民主党,23,5
名古屋市中村区,神田 けんじ,18034,自由民主党,23,5
名古屋市中川区,神田 けんじ,28047,自由民主党,23,5
清須市,神田 けんじ,11009,自由民主党,23,5
北名古屋市,神田 けんじ,13137,自由民主党,23,5
豊山町,神田 けんじ,2424,自由民主党,23,5
春日井市,森本 かずよし,45063,希望の党,23,6
犬山市,森本 かずよし,11204,希望の党,23,6
小牧市,森本 かずよし,18802,希望の党,23,6
春日井市,丹羽 ひでき,65863,自由民主党,23,6
犬山市,丹羽 ひでき,17105,自由民主党,23,6
小牧市,丹羽 ひでき,31926,自由民主党,23,6
春日井市,平山 良平,7255,社会民主党,23,6
犬山市,平山 良平,2237,社会民主党,23,6
小牧市,平山 良平,3272,社会民主党,23,6
春日井市,田上 みつのり,13874,日本共産党,23,6
犬山市,田上 みつのり,3941,日本共産党,23,6
小牧市,田上 みつのり,5684,日本共産党,23,6
瀬戸市,山尾 しおり,28830,無所属,23,7
大府市,山尾 しおり,20366,無所属,23,7
尾張旭市,山尾 しおり,20258,無所属,23,7
豊明市,山尾 しおり,15781,無所属,23,7
日進市,山尾 しおり,20599,無所属,23,7
長久手市,山尾 しおり,12437,無所属,23,7
東郷町,山尾 しおり,9892,無所属,23,7
瀬戸市,鈴木 じゅんじ,30708,自由民主党,23,7
大府市,鈴木 じゅんじ,20838,自由民主党,23,7
尾張旭市,鈴木 じゅんじ,17733,自由民主党,23,7
豊明市,鈴木 じゅんじ,15256,自由民主党,23,7
日進市,鈴木 じゅんじ,20783,自由民主党,23,7
長久手市,鈴木 じゅんじ,12340,自由民主党,23,7
東郷町,鈴木 じゅんじ,9671,自由民主党,23,7
半田市,長友 ただひろ,4495,日本共産党,23,8
常滑市,長友 ただひろ,1987,日本共産党,23,8
東海市,長友 ただひろ,4068,日本共産党,23,8
知多市,長友 ただひろ,3190,日本共産党,23,8
阿久比町,長友 ただひろ,1137,日本共産党,23,8
東浦町,長友 ただひろ,1909,日本共産党,23,8
南知多町,長友 ただひろ,573,日本共産党,23,8
美浜町,長友 ただひろ,985,日本共産党,23,8
武豊町,長友 ただひろ,1587,日本共産党,23,8
半田市,ばんの 豊,23687,無所属,23,8
常滑市,ばんの 豊,10194,無所属,23,8
東海市,ばんの 豊,23179,無所属,23,8
知多市,ばんの 豊,17077,無所属,23,8
阿久比町,ばんの 豊,6107,無所属,23,8
東浦町,ばんの 豊,11493,無所属,23,8
南知多町,ばんの 豊,2522,無所属,23,8
美浜町,ばんの 豊,4172,無所属,23,8
武豊町,ばんの 豊,8194,無所属,23,8
半田市,いとう 忠彦,20491,自由民主党,23,8
常滑市,いとう 忠彦,11834,自由民主党,23,8
東海市,いとう 忠彦,21731,自由民主党,23,8
知多市,いとう 忠彦,18314,自由民主党,23,8
阿久比町,いとう 忠彦,6028,自由民主党,23,8
東浦町,いとう 忠彦,10208,自由民主党,23,8
南知多町,いとう 忠彦,5953,自由民主党,23,8
美浜町,いとう 忠彦,5548,自由民主党,23,8
武豊町,いとう 忠彦,8370,自由民主党,23,8
一宮市（９区）,長坂 やすまさ,13549,自由民主党,23,9
津島市,長坂 やすまさ,11734,自由民主党,23,9
稲沢市,長坂 やすまさ,26589,自由民主党,23,9
愛西市,長坂 やすまさ,13422,自由民主党,23,9
弥富市,長坂 やすまさ,9507,自由民主党,23,9
あま市,長坂 やすまさ,16261,自由民主党,23,9
大治町,長坂 やすまさ,5078,自由民主党,23,9
蟹江町,長坂 やすまさ,6836,自由民主党,23,9
飛島村,長坂 やすまさ,1443,自由民主党,23,9
一宮市（９区）,渡辺 ひろし,2438,日本共産党,23,9
津島市,渡辺 ひろし,3069,日本共産党,23,9
稲沢市,渡辺 ひろし,6841,日本共産党,23,9
愛西市,渡辺 ひろし,3385,日本共産党,23,9
弥富市,渡辺 ひろし,2164,日本共産党,23,9
あま市,渡辺 ひろし,4361,日本共産党,23,9
大治町,渡辺 ひろし,1303,日本共産党,23,9
蟹江町,渡辺 ひろし,1773,日本共産党,23,9
飛島村,渡辺 ひろし,155,日本共産党,23,9
一宮市（９区）,岡本 みつのり,8670,希望の党,23,9
津島市,岡本 みつのり,10907,希望の党,23,9
稲沢市,岡本 みつのり,26101,希望の党,23,9
愛西市,岡本 みつのり,11241,希望の党,23,9
弥富市,岡本 みつのり,7101,希望の党,23,9
あま市,岡本 みつのり,14382,希望の党,23,9
大治町,岡本 みつのり,4553,希望の党,23,9
蟹江町,岡本 みつのり,6187,希望の党,23,9
飛島村,岡本 みつのり,766,希望の党,23,9
一宮市（10区）,スギモト カズミ,27835,日本維新の会,23,10
江南市,スギモト カズミ,8366,日本維新の会,23,10
岩倉市,スギモト カズミ,3392,日本維新の会,23,10
大口町,スギモト カズミ,1886,日本維新の会,23,10
扶桑町,スギモト カズミ,2779,日本維新の会,23,10
一宮市（10区）,いたくら 正文,15511,日本共産党,23,10
江南市,いたくら 正文,5637,日本共産党,23,10
岩倉市,いたくら 正文,2727,日本共産党,23,10
大口町,いたくら 正文,1138,日本共産党,23,10
扶桑町,いたくら 正文,2031,日本共産党,23,10
一宮市（10区）,エサキ 鉄磨,52665,自由民主党,23,10
江南市,エサキ 鉄磨,17003,自由民主党,23,10
岩倉市,エサキ 鉄磨,7646,自由民主党,23,10
大口町,エサキ 鉄磨,4969,自由民主党,23,10
扶桑町,エサキ 鉄磨,5888,自由民主党,23,10
一宮市（10区）,安井 みさこ,38609,希望の党,23,10
江南市,安井 みさこ,13760,希望の党,23,10
岩倉市,安井 みさこ,5890,希望の党,23,10
大口町,安井 みさこ,3114,希望の党,23,10
扶桑町,安井 みさこ,5187,希望の党,23,10
豊田市（11区）,本多 のぶひろ,16351,日本共産党,23,11
みよし市,本多 のぶひろ,2334,日本共産党,23,11
豊田市（11区）,ふるもと 伸一郎,118281,希望の党,23,11
みよし市,ふるもと 伸一郎,16417,希望の党,23,11
豊田市（11区）,八木 てつや,86303,自由民主党,23,11
みよし市,八木 てつや,10675,自由民主党,23,11
岡崎市,しげとく 和彦,103088,無所属,23,12
西尾市,しげとく 和彦,46499,無所属,23,12
岡崎市,宮地 いさお,9897,日本共産党,23,12
西尾市,宮地 いさお,4481,日本共産党,23,12
岡崎市,青山 周平,71553,自由民主党,23,12
西尾市,青山 周平,33258,自由民主党,23,12
碧南市,おおにし 健介,14322,希望の党,23,13
刈谷市,おおにし 健介,35586,希望の党,23,13
安城市,おおにし 健介,41615,希望の党,23,13
知立市,おおにし 健介,15320,希望の党,23,13
高浜市,おおにし 健介,9628,希望の党,23,13
碧南市,大見 正,13919,自由民主党,23,13
刈谷市,大見 正,31015,自由民主党,23,13
安城市,大見 正,42134,自由民主党,23,13
知立市,大見 正,14005,自由民主党,23,13
高浜市,大見 正,8508,自由民主党,23,13
碧南市,下島 良一,3448,日本共産党,23,13
刈谷市,下島 良一,5886,日本共産党,23,13
安城市,下島 良一,6026,日本共産党,23,13
知立市,下島 良一,2749,日本共産党,23,13
高浜市,下島 良一,1480,日本共産党,23,13
豊川市,金原 のぶゆき,8617,日本共産党,23,14
豊田市（14区）,金原 のぶゆき,101,日本共産党,23,14
蒲郡市,金原 のぶゆき,3355,日本共産党,23,14
新城市,金原 のぶゆき,2510,日本共産党,23,14
幸田町,金原 のぶゆき,1918,日本共産党,23,14
設楽町,金原 のぶゆき,289,日本共産党,23,14
東栄町,金原 のぶゆき,153,日本共産党,23,14
豊根村,金原 のぶゆき,26,日本共産党,23,14
豊川市,今枝 宗一郎,45505,自由民主党,23,14
豊田市（14区）,今枝 宗一郎,978,自由民主党,23,14
蒲郡市,今枝 宗一郎,20231,自由民主党,23,14
新城市,今枝 宗一郎,15245,自由民主党,23,14
幸田町,今枝 宗一郎,10369,自由民主党,23,14
設楽町,今枝 宗一郎,1974,自由民主党,23,14
東栄町,今枝 宗一郎,1401,自由民主党,23,14
豊根村,今枝 宗一郎,600,自由民主党,23,14
豊川市,田中 克典,30977,希望の党,23,14
豊田市（14区）,田中 克典,414,希望の党,23,14
蒲郡市,田中 克典,12456,希望の党,23,14
新城市,田中 克典,8227,希望の党,23,14
幸田町,田中 克典,7323,希望の党,23,14
設楽町,田中 克典,913,希望の党,23,14
東栄町,田中 克典,516,希望の党,23,14
豊根村,田中 克典,129,希望の党,23,14
豊橋市,根本 幸典,78147,自由民主党,23,15
田原市,根本 幸典,17421,自由民主党,23,15
豊橋市,せき 健一郎,64463,希望の党,23,15
田原市,せき 健一郎,12761,希望の党,23,15
豊橋市,のざわ 康幸,16495,日本共産党,23,15
田原市,のざわ 康幸,2079,日本共産党,23,15
津市（１区）,松田　直久,65784,無所属,24,1
松阪市,松田　直久,28261,無所属,24,1
津市（１区）,田村　のりひさ,65851,自由民主党,24,1
松阪市,田村　のりひさ,43733,自由民主党,24,1
四日市市（２区）,中川　正春,22731,無所属,24,2
鈴鹿市,中川　正春,53965,無所属,24,2
名張市,中川　正春,15383,無所属,24,2
亀山市,中川　正春,13611,無所属,24,2
伊賀市,中川　正春,16828,無所属,24,2
四日市市（２区）,川崎　二郎,14112,自由民主党,24,2
鈴鹿市,川崎　二郎,32840,自由民主党,24,2
名張市,川崎　二郎,22035,自由民主党,24,2
亀山市,川崎　二郎,8935,自由民主党,24,2
伊賀市,川崎　二郎,26858,自由民主党,24,2
四日市市（３区）,坂本　マキ,2442,幸福実現党,24,3
桑名市,坂本　マキ,1838,幸福実現党,24,3
いなべ市,坂本　マキ,740,幸福実現党,24,3
木曽岬町,坂本　マキ,116,幸福実現党,24,3
東員町,坂本　マキ,325,幸福実現党,24,3
菰野町,坂本　マキ,616,幸福実現党,24,3
朝日町,坂本　マキ,116,幸福実現党,24,3
川越町,坂本　マキ,160,幸福実現党,24,3
四日市市（３区）,岡田　かつや,59756,無所属,24,3
桑名市,岡田　かつや,41225,無所属,24,3
いなべ市,岡田　かつや,15244,無所属,24,3
木曽岬町,岡田　かつや,1947,無所属,24,3
東員町,岡田　かつや,8579,無所属,24,3
菰野町,岡田　かつや,13157,無所属,24,3
朝日町,岡田　かつや,3289,無所属,24,3
川越町,岡田　かつや,4058,無所属,24,3
四日市市（３区）,野村　まさひろ,5130,日本共産党,24,3
桑名市,野村　まさひろ,3183,日本共産党,24,3
いなべ市,野村　まさひろ,1135,日本共産党,24,3
木曽岬町,野村　まさひろ,181,日本共産党,24,3
東員町,野村　まさひろ,665,日本共産党,24,3
菰野町,野村　まさひろ,1116,日本共産党,24,3
朝日町,野村　まさひろ,203,日本共産党,24,3
川越町,野村　まさひろ,251,日本共産党,24,3
四日市市（３区）,島田　よしかず,28458,自由民主党,24,3
桑名市,島田　よしかず,16728,自由民主党,24,3
いなべ市,島田　よしかず,5604,自由民主党,24,3
木曽岬町,島田　よしかず,863,自由民主党,24,3
東員町,島田　よしかず,3376,自由民主党,24,3
菰野町,島田　よしかず,5152,自由民主党,24,3
朝日町,島田　よしかず,1444,自由民主党,24,3
川越町,島田　よしかず,1781,自由民主党,24,3
伊勢市,三ツ矢　のりお,29280,自由民主党,24,4
尾鷲市,三ツ矢　のりお,5196,自由民主党,24,4
鳥羽市,三ツ矢　のりお,5474,自由民主党,24,4
熊野市,三ツ矢　のりお,6396,自由民主党,24,4
志摩市,三ツ矢　のりお,17318,自由民主党,24,4
多気町,三ツ矢　のりお,3918,自由民主党,24,4
明和町,三ツ矢　のりお,5420,自由民主党,24,4
大台町,三ツ矢　のりお,2622,自由民主党,24,4
玉城町,三ツ矢　のりお,3132,自由民主党,24,4
度会町,三ツ矢　のりお,2012,自由民主党,24,4
大紀町,三ツ矢　のりお,2913,自由民主党,24,4
南伊勢町,三ツ矢　のりお,4583,自由民主党,24,4
紀北町,三ツ矢　のりお,5111,自由民主党,24,4
御浜町,三ツ矢　のりお,2759,自由民主党,24,4
紀宝町,三ツ矢　のりお,3462,自由民主党,24,4
伊勢市,谷中　みよし,5295,日本共産党,24,4
尾鷲市,谷中　みよし,1050,日本共産党,24,4
鳥羽市,谷中　みよし,768,日本共産党,24,4
熊野市,谷中　みよし,767,日本共産党,24,4
志摩市,谷中　みよし,2228,日本共産党,24,4
多気町,谷中　みよし,664,日本共産党,24,4
明和町,谷中　みよし,915,日本共産党,24,4
大台町,谷中　みよし,431,日本共産党,24,4
玉城町,谷中　みよし,604,日本共産党,24,4
度会町,谷中　みよし,294,日本共産党,24,4
大紀町,谷中　みよし,439,日本共産党,24,4
南伊勢町,谷中　みよし,557,日本共産党,24,4
紀北町,谷中　みよし,843,日本共産党,24,4
御浜町,谷中　みよし,412,日本共産党,24,4
紀宝町,谷中　みよし,457,日本共産党,24,4
伊勢市,ふじた　大助,23728,希望の党,24,4
尾鷲市,ふじた　大助,3186,希望の党,24,4
鳥羽市,ふじた　大助,2912,希望の党,24,4
熊野市,ふじた　大助,3249,希望の党,24,4
志摩市,ふじた　大助,10004,希望の党,24,4
多気町,ふじた　大助,2835,希望の党,24,4
明和町,ふじた　大助,4343,希望の党,24,4
大台町,ふじた　大助,2471,希望の党,24,4
玉城町,ふじた　大助,3495,希望の党,24,4
度会町,ふじた　大助,2026,希望の党,24,4
大紀町,ふじた　大助,2006,希望の党,24,4
南伊勢町,ふじた　大助,2274,希望の党,24,4
紀北町,ふじた　大助,2983,希望の党,24,4
御浜町,ふじた　大助,1521,希望の党,24,4
紀宝町,ふじた　大助,1945,希望の党,24,4
大津市,小坂 よし子,12076,社会民主党,25,1
高島市,小坂 よし子,1407,社会民主党,25,1
大津市,大岡　としたか,70671,自由民主党,25,1
高島市,大岡　としたか,14323,自由民主党,25,1
大津市,かだ　由紀子,68217,無所属,25,1
高島市,かだ　由紀子,11507,無所属,25,1
彦根市,田島　一成,21174,希望の党,25,2
長浜市,田島　一成,17765,希望の党,25,2
東近江市（２区）,田島　一成,3002,希望の党,25,2
米原市,田島　一成,9260,希望の党,25,2
愛荘町,田島　一成,3411,希望の党,25,2
豊郷町,田島　一成,980,希望の党,25,2
甲良町,田島　一成,1371,希望の党,25,2
多賀町,田島　一成,1755,希望の党,25,2
彦根市,うえの　賢一郎,20635,自由民主党,25,2
長浜市,うえの　賢一郎,29605,自由民主党,25,2
東近江市（２区）,うえの　賢一郎,3283,自由民主党,25,2
米原市,うえの　賢一郎,10602,自由民主党,25,2
愛荘町,うえの　賢一郎,4105,自由民主党,25,2
豊郷町,うえの　賢一郎,1748,自由民主党,25,2
甲良町,うえの　賢一郎,1776,自由民主党,25,2
多賀町,うえの　賢一郎,1940,自由民主党,25,2
彦根市,あらかわ　まさし,801,幸福実現党,25,2
長浜市,あらかわ　まさし,795,幸福実現党,25,2
東近江市（２区）,あらかわ　まさし,217,幸福実現党,25,2
米原市,あらかわ　まさし,448,幸福実現党,25,2
愛荘町,あらかわ　まさし,175,幸福実現党,25,2
豊郷町,あらかわ　まさし,48,幸福実現党,25,2
甲良町,あらかわ　まさし,35,幸福実現党,25,2
多賀町,あらかわ　まさし,57,幸福実現党,25,2
彦根市,たいげつ　慈照,2898,無所属,25,2
長浜市,たいげつ　慈照,5010,無所属,25,2
東近江市（２区）,たいげつ　慈照,374,無所属,25,2
米原市,たいげつ　慈照,1594,無所属,25,2
愛荘町,たいげつ　慈照,577,無所属,25,2
豊郷町,たいげつ　慈照,210,無所属,25,2
甲良町,たいげつ　慈照,173,無所属,25,2
多賀町,たいげつ　慈照,237,無所属,25,2
草津市,小川　やすえ,18493,希望の党,25,3
守山市,小川　やすえ,12617,希望の党,25,3
栗東市,小川　やすえ,8658,希望の党,25,3
野洲市,小川　やすえ,8250,希望の党,25,3
草津市,石堂　あつし,30833,日本共産党,25,3
守山市,石堂　あつし,18680,日本共産党,25,3
栗東市,石堂　あつし,15483,日本共産党,25,3
野洲市,石堂　あつし,13728,日本共産党,25,3
草津市,武村　のぶひで,6387,自由民主党,25,3
守山市,武村　のぶひで,3594,自由民主党,25,3
栗東市,武村　のぶひで,2904,自由民主党,25,3
野洲市,武村　のぶひで,2617,自由民主党,25,3
近江八幡市,西沢　こういち,4572,日本共産党,25,4
甲賀市,西沢　こういち,6425,日本共産党,25,4
湖南市,西沢　こういち,3356,日本共産党,25,4
東近江市（４区）,西沢　こういち,6180,日本共産党,25,4
日野町,西沢　こういち,1775,日本共産党,25,4
竜王町,西沢　こういち,588,日本共産党,25,4
近江八幡市,小寺　ひろお,15182,自由民主党,25,4
甲賀市,小寺　ひろお,22126,自由民主党,25,4
湖南市,小寺　ひろお,10873,自由民主党,25,4
東近江市（４区）,小寺　ひろお,24152,自由民主党,25,4
日野町,小寺　ひろお,4762,自由民主党,25,4
竜王町,小寺　ひろお,3019,自由民主党,25,4
近江八幡市,とくなが　久志,16349,希望の党,25,4
甲賀市,とくなが　久志,17237,希望の党,25,4
湖南市,とくなが　久志,10048,希望の党,25,4
東近江市（４区）,とくなが　久志,15075,希望の党,25,4
日野町,とくなが　久志,3513,希望の党,25,4
竜王町,とくなが　久志,2395,希望の党,25,4
京都市北区,伊吹　文明,20222,自由民主党,26,1
京都市上京区,伊吹　文明,15230,自由民主党,26,1
京都市中京区,伊吹　文明,20431,自由民主党,26,1
京都市下京区,伊吹　文明,15272,自由民主党,26,1
京都市南区,伊吹　文明,16951,自由民主党,26,1
京都市北区,こくた　恵二,16876,日本共産党,26,1
京都市上京区,こくた　恵二,11558,日本共産党,26,1
京都市中京区,こくた　恵二,14559,日本共産党,26,1
京都市下京区,こくた　恵二,8795,日本共産党,26,1
京都市南区,こくた　恵二,10150,日本共産党,26,1
京都市北区,しまむら　聖子,8898,希望の党,26,1
京都市上京区,しまむら　聖子,6074,希望の党,26,1
京都市中京区,しまむら　聖子,8779,希望の党,26,1
京都市下京区,しまむら　聖子,5806,希望の党,26,1
京都市南区,しまむら　聖子,6577,希望の党,26,1
京都市左京区,ちさか　拓晃,17374,日本共産党,26,2
京都市東山区,ちさか　拓晃,2824,日本共産党,26,2
京都市山科区,ちさか　拓晃,8402,日本共産党,26,2
京都市左京区,しげもと まもる,18071,自由民主党,26,2
京都市東山区,しげもと まもる,4942,自由民主党,26,2
京都市山科区,しげもと まもる,17323,自由民主党,26,2
京都市左京区,まえはら　誠司,33576,無所属,26,2
京都市東山区,まえはら　誠司,7238,無所属,26,2
京都市山科区,まえはら　誠司,24666,無所属,26,2
京都市伏見区,泉　ケンタ,38512,希望の党,26,3
向日市,泉　ケンタ,8326,希望の党,26,3
長岡京市,泉　ケンタ,13462,希望の党,26,3
大山崎町,泉　ケンタ,2713,希望の党,26,3
京都市伏見区,金森　とおる,15448,日本共産党,26,3
向日市,金森　とおる,4154,日本共産党,26,3
長岡京市,金森　とおる,5495,日本共産党,26,3
大山崎町,金森　とおる,1323,日本共産党,26,3
京都市伏見区,森　なつえ,10026,日本維新の会,26,3
向日市,森　なつえ,2345,日本維新の会,26,3
長岡京市,森　なつえ,3316,日本維新の会,26,3
大山崎町,森　なつえ,824,日本維新の会,26,3
京都市伏見区,木村　やよい,35189,自由民主党,26,3
向日市,木村　やよい,7644,自由民主党,26,3
長岡京市,木村　やよい,11170,自由民主党,26,3
大山崎町,木村　やよい,2531,自由民主党,26,3
京都市伏見区,小田切　新一郎,789,無所属,26,3
向日市,小田切　新一郎,504,無所属,26,3
長岡京市,小田切　新一郎,711,無所属,26,3
大山崎町,小田切　新一郎,55,無所属,26,3
京都市右京区,吉田　幸一,16509,日本共産党,26,4
京都市西京区,吉田　幸一,11328,日本共産党,26,4
亀岡市,吉田　幸一,6038,日本共産党,26,4
南丹市,吉田　幸一,3063,日本共産党,26,4
京丹波町,吉田　幸一,1281,日本共産党,26,4
京都市右京区,北神　圭朗,26046,希望の党,26,4
京都市西京区,北神　圭朗,21681,希望の党,26,4
亀岡市,北神　圭朗,14277,希望の党,26,4
南丹市,北神　圭朗,5553,希望の党,26,4
京丹波町,北神　圭朗,3511,希望の党,26,4
京都市右京区,えん田　ゆき,1236,幸福実現党,26,4
京都市西京区,えん田　ゆき,1063,幸福実現党,26,4
亀岡市,えん田　ゆき,679,幸福実現党,26,4
南丹市,えん田　ゆき,467,幸福実現党,26,4
京丹波町,えん田　ゆき,161,幸福実現党,26,4
